Expression,Group
-0.8829374498133147,1-100
-0.9782997751723456,1-100
0.9529003306592886,1-100
1.531425101409028,1-100
0.5150093841577018,1-100
-0.17573399018681135,1-100
-0.5493404782033197,1-100
1.788141319129888,1-100
0.5711329467271762,1-100
-1.2736664110026452,1-100
-0.6739031770352499,1-100
-0.8966136606050357,1-100
-0.9506407191832797,1-100
-1.2066339603602987,1-100
-0.7249418688596185,1-100
-1.3948339482829386,1-100
0.33005463941404345,1-100
-0.5983766603426146,1-100
0.06363495638997238,1-100
0.4932331847773811,1-100
0.5872985689627945,1-100
0.9059738077396702,1-100
-1.0184889959353562,1-100
-0.8206593657414392,1-100
0.617109037448601,1-100
-0.2280774616331587,1-100
-0.9001184241132162,1-100
-0.5986479460038586,1-100
-0.37790824052621985,1-100
0.7710652987115243,1-100
0.27157800811743316,1-100
1.6081833979716826,1-100
-0.8610853334449184,1-100
-1.0421889047544302,1-100
-0.306644242832065,1-100
-0.5659103559139644,1-100
-0.40242908655740045,1-100
0.5437081475474428,1-100
0.4249010561646214,1-100
-1.1813118748967602,1-100
0.12537878216797077,1-100
0.5672018882388016,1-100
0.12946921139115541,1-100
-0.26500560623110797,1-100
0.9943003535010265,1-100
-0.3718533783345394,1-100
0.5524791557958696,1-100
0.17696737093054712,1-100
-0.2840519582887799,1-100
0.8999008547580575,1-100
-0.19758779386080755,1-100
1.2147184063322485,1-100
0.6334553667330263,1-100
0.6314694648043944,1-100
-0.9419857656271361,1-100
0.0654442944021795,1-100
0.39484720515844407,1-100
-0.06345368812900506,1-100
-0.30043855834305916,1-100
2.7078424327249335,1-100
-0.2635862708000781,1-100
-0.7609072347034779,1-100
0.696335304986532,1-100
2.82977760477814,1-100
0.3401927040621195,1-100
-0.4870236519822727,1-100
-0.632589850822648,1-100
0.5467431500068705,1-100
-0.29129543629926863,1-100
-0.16272553276444157,1-100
-0.6175854825459712,1-100
0.34958436627149336,1-100
0.5888973911400055,1-100
0.9460869783868263,1-100
0.6698006605151874,1-100
-0.7396198198987877,1-100
-0.5204500168276203,1-100
0.4122154156239405,1-100
0.990819132224808,1-100
