Label,TopK,Value,Control
MPRA_HepG2,400,1.3495844377902277,1.0
MPRA_K562,400,1.1096244911744981,1.0
MPRA_SKNSH,400,1.0268000593437152,1.0
epigenetics_ELF1,400,1.478047296804644,1.0
epigenetics_HNF1A,400,1.7734075901342665,1.0
epigenetics_HNF4A,400,1.0769619818148841,1.0
MPRA_HepG2,300,1.736965594166206,1.0
MPRA_K562,300,1.3164736647952542,1.0
MPRA_SKNSH,300,1.1611547918145804,1.0
epigenetics_ELF1,300,1.8826430493618413,1.0
epigenetics_HNF1A,300,2.0608822421470223,1.0
epigenetics_HNF4A,300,1.1277555471983727,1.0
MPRA_HepG2,200,2.355480654598389,1.0
MPRA_K562,200,1.488747185461853,1.0
MPRA_SKNSH,200,1.2457564144019584,1.0
epigenetics_ELF1,200,2.519374159093579,1.0
epigenetics_HNF1A,200,2.4757334309663976,1.0
epigenetics_HNF4A,200,1.1898245588800171,1.0
MPRA_HepG2,100,3.115477217419936,1.0
MPRA_K562,100,1.6147098441152081,1.0
MPRA_SKNSH,100,1.5235619560570128,1.0
epigenetics_ELF1,100,4.029747343394052,1.0
epigenetics_HNF1A,100,2.643856189774725,1.0
epigenetics_HNF4A,100,1.5443205162238105,1.0
