,Enformer,Enformer_Basenji2_DeepDNAshape,Sei_Expecto,Malinois_MPRALegNet_CLIPNET_SahuCNN_DeepDNAshape,DeepDNAshape,DeepACE
MPRA_HepG2,1.086108,1.053045,0.829747,0.504602,0.543470,1.000000
MPRA_K562,0.991749,1.003327,0.823526,0.769827,0.739740,1.000000
MPRA_SKNSH,1.028402,0.988274,1.237835,0.806177,0.732249,1.000000
epigenetics_ELF1,0.997918,1.018828,0.900803,1.306681,0.652952,1.000000
epigenetics_HNF1A,0.969837,1.001025,0.850954,0.987529,1.291859,1.000000
epigenetics_HNF4A,0.982106,0.987773,0.989293,0.932695,1.211399,1.000000
Average,1.009353,1.008712,0.938693,0.884585,0.861945,1.000000
