Expression,Group
-1.3837604832720842,1-100
-1.2833320644771802,1-100
-1.2130752153155329,1-100
-0.9339575755801226,1-100
-0.915588924225103,1-100
-1.383930746240456,1-100
-1.3739487192337192,1-100
-0.9172259423417,1-100
-1.144458569235118,1-100
-0.7295363476501958,1-100
-1.064998787649087,1-100
-1.5426693670564462,1-100
-0.3414161102656229,1-100
-0.7485655441337122,1-100
-0.6147651317594798,1-100
-1.4296338360574778,1-100
-0.732920672452245,1-100
-0.5120726872471772,1-100
-1.079212176775087,1-100
-0.5094407814538612,1-100
-1.3341911892752814,1-100
-0.9763157946665374,1-100
-0.9225391306642577,1-100
-1.0054076614606418,1-100
-0.34123731407981683,1-100
-0.434473636059651,1-100
-0.6342367636127813,1-100
-0.029472511552916632,1-100
-0.645366737104961,1-100
-1.0472384359636229,1-100
-1.1265809353502658,1-100
-1.1729848480880465,1-100
-0.7955216075288605,1-100
-0.9032881554442589,1-100
-0.9150203364496465,1-100
-1.3527205733683716,1-100
-0.6239178340309417,1-100
-1.2330326430367906,1-100
0.6191850782645879,1-100
-1.2347739401597977,1-100
-0.37032907824415323,1-100
-1.078840139625265,1-100
-1.2619996222549636,1-100
-0.7895547694007206,1-100
-0.6210195368481235,1-100
-0.9536103319483397,1-100
-0.784690075235527,1-100
-0.08831067979975253,1-100
-0.2987646594628153,1-100
-1.0358603189379323,1-100
-0.8399755926211572,1-100
-0.22253513855053553,1-100
0.2763353827470914,1-100
0.4079402374044797,1-100
0.493340488533372,1-100
-1.2622686036141,1-100
-0.5949782318495118,1-100
-0.8270991311195591,1-100
-0.3163758046813207,1-100
-0.5403653202291697,1-100
-1.2645487757816283,1-100
-0.6171123970597168,1-100
-1.539185721601775,1-100
-0.3637401390020807,1-100
-0.9004933792296976,1-100
0.7510859784540698,1-100
-1.0226564142621948,1-100
-0.757237714341832,1-100
-0.9031449921909455,1-100
0.7239659729596143,1-100
-1.4278031366160895,1-100
-0.21404376260231733,1-100
-1.0836975382605412,1-100
-0.9019879331990204,1-100
-0.9108209255187159,1-100
-0.8245172738564812,1-100
-0.36450607574782284,1-100
-0.724451642160413,1-100
-1.1123273530675428,1-100
-0.5357327057568114,1-100
-0.6491479721501994,1-100
-0.5901119370699561,1-100
0.48443206053523136,1-100
-0.7354130733237814,1-100
-0.3701196171875102,1-100
-0.7835428004087329,1-100
-0.7782892854011472,1-100
-0.886588638938211,1-100
-0.20857484502673035,1-100
-0.44056510138736216,1-100
-1.1095070441351302,1-100
-1.3462811286519794,1-100
-0.10376357561658035,1-100
-0.4155739331092523,1-100
-0.09882751189920908,1-100
-1.06151970441412,1-100
-0.581060240317371,1-100
0.1277074186496143,1-100
0.25649854821470347,1-100
0.05938416834684282,1-100
-0.05917196501654272,101-200
-0.13420249688572278,101-200
-0.7780688350426594,101-200
-0.5479968602462354,101-200
-0.131707076104548,101-200
-0.5967819658335445,101-200
-0.6252059762707196,101-200
0.05893384714985856,101-200
-0.10055877949112234,101-200
-0.16637205102923827,101-200
0.001351983829059295,101-200
-0.15665648591857817,101-200
-0.018322778360751395,101-200
0.08009518346146116,101-200
0.4582580772958852,101-200
0.8479734292321703,101-200
-0.7578112145400662,101-200
0.6831914166946216,101-200
-0.07445052266401798,101-200
0.09637105565505338,101-200
-0.5459517204291519,101-200
0.452585630010246,101-200
-0.7306043135463722,101-200
0.599416692007509,101-200
0.10314952926532427,101-200
1.0247694100303744,101-200
-0.09221421977764582,101-200
-0.7849712054547027,101-200
-0.5410205244443318,101-200
-0.7358322566519633,101-200
-1.1286055952519287,101-200
0.5967190377896785,101-200
0.2575884013104247,101-200
0.01519995093474271,101-200
0.7115789970869486,101-200
-0.9330247304441373,101-200
-0.11378558752462986,101-200
-0.863497180514789,101-200
0.571579058885443,101-200
-0.9465102555971703,101-200
0.009943854529346912,101-200
-0.5658026019904983,101-200
0.5161921086532404,101-200
0.4559261955971976,101-200
0.3065400623490993,101-200
0.6893124711111986,101-200
-0.8902025460224535,101-200
-0.4917371668677047,101-200
-0.23837023651438397,101-200
-0.4220187162288872,101-200
-0.08040435683223458,101-200
1.0902937564735808,101-200
-0.13013428886757897,101-200
0.8824560381043564,101-200
1.1040181671550442,101-200
-0.02417067656340636,101-200
0.5555494643736838,101-200
0.6517554446100171,101-200
0.5883033217201554,101-200
0.9817716928996911,101-200
0.4774646281991527,101-200
-0.6669194430173631,101-200
-0.532276769397079,101-200
-0.40265679292803125,101-200
-0.6553337816166671,101-200
1.3310550843662612,101-200
0.5037217277318996,101-200
0.4847177145706084,101-200
0.06659563676897777,101-200
-0.3358023790625252,101-200
-0.011528157746645064,101-200
0.8923630411096044,101-200
0.4404762871127959,101-200
