Label,TopK,Value,Control
MPRA_HepG2,400,1.3446481713874459,1.0
MPRA_K562,400,1.1199094637351963,1.0
MPRA_SKNSH,400,1.0356239097307212,1.0
epigenetics_ELF1,400,1.4366397537640547,1.0
epigenetics_HNF1A,400,1.7273154241324868,1.0
epigenetics_HNF4A,400,1.0666710396452876,1.0
MPRA_HepG2,300,1.7951802081115018,1.0
MPRA_K562,300,1.3164736647952542,1.0
MPRA_SKNSH,300,1.175849835399418,1.0
epigenetics_ELF1,300,1.838248930003388,1.0
epigenetics_HNF1A,300,2.0995356735509145,1.0
epigenetics_HNF4A,300,1.1547225947986421,1.0
MPRA_HepG2,200,2.2730184944064162,1.0
MPRA_K562,200,1.488747185461853,1.0
MPRA_SKNSH,200,1.2394659346953893,1.0
epigenetics_ELF1,200,2.6020360140800975,1.0
epigenetics_HNF1A,200,2.4594316186372973,1.0
epigenetics_HNF4A,200,1.2223924213364477,1.0
MPRA_HepG2,100,3.222392421336448,1.0
MPRA_K562,100,1.6147098441152081,1.0
MPRA_SKNSH,100,1.5235619560570128,1.0
epigenetics_ELF1,100,4.029747343394052,1.0
epigenetics_HNF1A,100,2.6724253419714956,1.0
epigenetics_HNF4A,100,1.3870231231092474,1.0
