removed_top_n,mean_remaining,std_remaining
1,3.3697551001644994,1.5266824644720003
2,3.3651846705333206,1.5248003352241897
3,3.3659935678675645,1.5262268226610014
4,3.366271633582646,1.527752006375927
5,3.3680180921272145,1.5287997053773223
6,3.370219154533395,1.5295625703262574
7,3.3667284502389436,1.529146107988279
8,3.365145043070279,1.5302955264301428
9,3.363397990971278,1.5313628503008632
10,3.35892991117794,1.5297241078003232
11,3.357952979479255,1.5311347368690567
12,3.356445322347258,1.5323400781125165
13,3.358654848721561,1.5331357365438845
14,3.356628625253974,1.5340606894392832
15,3.359886642139768,1.533960794564752
16,3.357732256729034,1.5348114853975598
17,3.356163959993149,1.5360120395819388
18,3.3572291961594427,1.5374263539390634
19,3.3552058259266087,1.538382451775229
20,3.355466726513502,1.5399734693174338
21,3.351735365713907,1.5394109906696525
22,3.351469866712519,1.541009456599949
23,3.350033013316137,1.542304029533663
24,3.350566490937997,1.5438792823960792
25,3.3453419294071387,1.541294374843522
26,3.3521238978550727,1.53582305917003
27,3.3538843877963394,1.5369678528833284
28,3.357312345173524,1.5367878248769484
29,3.360754534062439,1.5365996582974373
30,3.358650345450275,1.5375554639299884
31,3.363084147440945,1.5361894212977711
32,3.366789176456529,1.5357351128273855
33,3.364977211939871,1.5368786794459801
34,3.369611996053135,1.5352631712308593
35,3.3709286188320813,1.5366502803819437
36,3.3703567558492025,1.538255834504755
37,3.3734735309867534,1.5384518950018975
38,3.3700297176977614,1.5383322594680038
39,3.3776052670566843,1.5313672905918458
40,3.377427120087449,1.5330261448530584
41,3.3788295317769426,1.5344004190958773
42,3.3748407999587333,1.5336957137695166
43,3.3716198510227198,1.5338246676839136
44,3.370686889413711,1.535376038859609
45,3.375436995176767,1.5337117318965423
46,3.373479214301284,1.5348318863945745
47,3.376485572680532,1.535189180965681
48,3.3804239108735943,1.5345988835936013
49,3.3860970609140146,1.5315573759209495
50,3.388919986563813,1.5320857068792835
51,3.3859080553715626,1.5324595083638326
52,3.3893225424002833,1.5324618803685288
53,3.390569852552551,1.5339479142468033
54,3.394817713779833,1.5330382143265797
55,3.3958804860543874,1.5345956400592824
56,3.3973148486564932,1.5360248223108264
57,3.3960827248715515,1.537538325443334
58,3.392484359918268,1.5374122761924547
59,3.391139946428183,1.5388948421202375
60,3.3965278017188463,1.536482287418815
61,3.40063550016982,1.5358161489827429
62,3.4067904980171098,1.5321505798334931
63,3.3986905061727684,1.5245065094282253
64,3.3974571635536894,1.526036012814206
65,3.398696041480652,1.52757005154107
66,3.400992304171967,1.5285788315408255
67,3.40468278385725,1.5284104544297548
68,3.402208248853584,1.5293118108185308
69,3.4059510793434247,1.5291073406852422
70,3.402536865667333,1.52924254379414
71,3.401750515478969,1.5309370041133215
72,3.396683907522088,1.5291277097858031
73,3.3919794176914535,1.527820314315352
74,3.397045274544476,1.5260263027870318
75,3.3945226635882073,1.5269331433300781
76,3.4018352980649817,1.5212813640911713
77,3.4067355355075613,1.5197325137534505
78,3.4131649184888047,1.5157751586945956
79,3.4166646103047333,1.5158704308966415
80,3.417192330126009,1.5176353391049315
81,3.4198325311641544,1.5184815713936632
82,3.413113088858108,1.5140621812307642
83,3.4188816495877346,1.5112816159266378
84,3.417015569073528,1.512617049780238
85,3.4233541666396334,1.5089100849501174
86,3.4288352212278843,1.506599406450647
87,3.4293778310149396,1.5083818695306015
88,3.428843962621076,1.5101723482919356
89,3.4283714634930686,1.5119780075617297
90,3.4260392945346583,1.5130822384017004
91,3.4253583561305496,1.5148680969746628
92,3.4265232360193325,1.5165404487195244
93,3.4265771643194496,1.518401986804533
94,3.431395031553209,1.5171605234816716
95,3.4334993680538934,1.5184405123150235
96,3.4279302129788096,1.516181849198935
97,3.425018260820319,1.5169330679214696
98,3.426672927668104,1.5184553481071588
99,3.4276642829870214,1.5202175687571644
100,3.425708548694484,1.5216127386602067
101,3.4253886525444726,1.5235048944050142
102,3.4201603835684584,1.5218384955446842
103,3.422951873270934,1.5227359454183378
104,3.422845212357437,1.5246558984022451
105,3.4177327267073543,1.5231907813214058
106,3.4166793574834426,1.5249788437893135
107,3.415451274068168,1.5267231917623934
108,3.4177626113528157,1.527982434488934
109,3.4222337280398065,1.5273719490353221
110,3.4257863356120524,1.5277146189552404
111,3.4278971426549556,1.529108918014879
112,3.4340137600118523,1.5263180025626872
113,3.4355557154205494,1.5279868731910784
114,3.4362882690375303,1.5298969789703534
115,3.4307414879829463,1.5280013841969828
116,3.4384246962442195,1.5225443203578093
117,3.437599645724527,1.524444949302068
118,3.4397771325693336,1.5258440356669372
119,3.4411926143212974,1.5275946489659413
120,3.4426251878320726,1.5293477063284335
121,3.4447426506405594,1.5308075881906047
122,3.44976237335554,1.5297128397296005
123,3.448540586012533,1.5315560911586974
124,3.4443932124183667,1.5314757137470072
125,3.445466858920262,1.533374999113855
126,3.4418117346660795,1.533791266081944
127,3.448962473110706,1.5296074319303767
128,3.443189991857029,1.5275992519712314
129,3.4379993850134976,1.5263770241215284
130,3.4464216376805044,1.519804924611565
131,3.449829799496733,1.520450225652499
132,3.451670328451192,1.5221040912439046
133,3.4595369760541184,1.5166872809836494
134,3.4621151954861253,1.5179544996609107
135,3.4674874122107497,1.5165538830629925
136,3.4721488677778614,1.5160221101712037
137,3.4670346453433014,1.5149699628274982
138,3.4635458286421046,1.5156040903783727
139,3.4638969432171507,1.5176871107812344
140,3.4695281482514133,1.5160227399628843
141,3.472438258060556,1.5171282811160407
142,3.4754404899400693,1.5181803848291915
143,3.4744056336285785,1.520179105237363
144,3.482311608236328,1.5149659554105117
145,3.48863514089102,1.5123992802133805
146,3.489740592887349,1.514390705656182
147,3.4902304021490234,1.5165062166346812
148,3.48195416336047,1.5106771558456902
149,3.487496491047115,1.5092497423157212
150,3.4833035480386494,1.5093614654609784
151,3.486548435771492,1.5103027819751085
152,3.490580152220809,1.510594660785276
153,3.485584955344742,1.5098970182965048
154,3.4827418235243406,1.511149579667919
155,3.480795461896081,1.5129049357094817
156,3.4820697161934695,1.514917451397199
157,3.4837455290711348,1.5168057560005799
158,3.4854735123472667,1.5186845363203199
159,3.4884597496375864,1.5199067542130529
160,3.492152549022568,1.5206120031980934
161,3.495349978583155,1.5217114325022396
162,3.4929719883056163,1.5233317426605797
163,3.4967625255334527,1.5239977132788582
164,3.4893587206884824,1.520200097350127
165,3.491083180498461,1.5221391803707642
166,3.4923476987528743,1.5242404228418356
167,3.4919993516762804,1.5265140813858837
168,3.4957502440081343,1.527278301512629
169,3.4905477497056747,1.5266434365543597
170,3.490976931166047,1.5289348446763251
171,3.4878898327209034,1.5302294256153965
172,3.4940467870254817,1.528485971607582
173,3.49428903043009,1.5308150353269423
174,3.493973822869684,1.5331505178064937
175,3.4891814640421286,1.5330674571387053
176,3.483968240245582,1.5325524703391435
177,3.4857105428439077,1.5346025882581844
178,3.4824432824921994,1.5358615700964364
179,3.491254770333179,1.530104062853399
180,3.4919471754032756,1.5324427739529538
181,3.500443001562048,1.5272999872434332
182,3.505561898341066,1.5269649056896177
183,3.5066751702063894,1.5292426151816731
184,3.506729510182628,1.5316600860105576
185,3.4992764773546647,1.5283576512957269
186,3.4958714921056826,1.5295960653452185
187,3.4937618894181948,1.5315814230364817
188,3.495172344327175,1.533830949367419
189,3.5018893262313635,1.5317066833235948
190,3.5054447847280477,1.5328933656324486
191,3.5102269416375207,1.5330613427830226
192,3.510150586452147,1.5355474753237048
193,3.51116494145507,1.5379433079773768
194,3.5048987292795473,1.5365366170107733
195,3.501225972262155,1.537711904050938
196,3.505454242299973,1.5384678024758813
197,3.499920019040602,1.5379804537972412
198,3.4960439940735006,1.5390465008021426
199,3.485929440210647,1.5315474459938196
200,3.495462141836933,1.5251569685682365
201,3.487533069374743,1.5215197445446735
202,3.4891077303556153,1.5238272463616116
