removed_top_n,mean_remaining,std_remaining
1,2.230972731842785,1.6285596700319855
2,2.2348105721106135,1.6279381238161008
3,2.240239077658135,1.6250659972150083
4,2.243536765947048,1.625041235999616
5,2.2502632772613262,1.6197690860091432
6,2.253087848832612,1.6201894077396162
7,2.2582861107490024,1.6177111783231388
8,2.2635428929997756,1.6151424386827804
9,2.2681931215400386,1.6134927287629737
10,2.269071931429383,1.6150209163460996
11,2.269772140558628,1.6165971199922775
12,2.2770641964474057,1.6101985664457703
13,2.282203347126739,1.6078478843539221
14,2.2855320510198585,1.6078240008389402
15,2.2855812734034937,1.6094803320256903
16,2.2867400963876947,1.6109400264004123
17,2.2921733502107355,1.6081706701711398
18,2.294176882920381,1.6092357378937332
19,2.2934687133429663,1.6108326422540458
20,2.2898643042326556,1.6105708794676015
21,2.2937062651854947,1.610052408981357
22,2.2981428941638318,1.6088080789617067
23,2.3050902875795583,1.603314780118499
24,2.3064446434079837,1.6047254566762827
25,2.305045558845563,1.6061237207485999
26,2.3057235326635817,1.607749152661937
27,2.3027183554630355,1.6081173514050033
28,2.3090589283698852,1.603902853090052
29,2.316307036654259,1.5978640743392478
30,2.3192164607084123,1.5983162951515182
31,2.324794523614776,1.5954428759066528
32,2.3267249179811484,1.596599276021726
33,2.3266707970197373,1.5983073541276265
34,2.3293462843183725,1.5989763753232644
35,2.322551237159617,1.5939596358866517
36,2.3266461107603105,1.5932312662967882
37,2.332361860629516,1.5901916730932515
38,2.3321151357993304,1.591902877131752
39,2.3342509089511188,1.5929671769053462
40,2.3390520757682887,1.5913623795765968
41,2.343282249496108,1.5905093834768158
42,2.3444166407230123,1.592059309231657
43,2.345492101613437,1.5936340233052435
44,2.3478715200736273,1.5945693728263433
45,2.347908869953276,1.5963204858834201
46,2.3491503958465656,1.5978581364481177
47,2.349496769360114,1.5996037790131952
48,2.3519927551163073,1.6004908612213191
49,2.3494832066587046,1.601375700588853
50,2.3563582618313132,1.5964916759179264
51,2.361889012916218,1.5939564331118352
52,2.365300042959848,1.5940966526565874
53,2.365682079709702,1.5958582761933076
54,2.36483185863771,1.597545224571666
55,2.365742929606178,1.599223471665588
56,2.3722377867051945,1.5951502665145953
57,2.3727813851654815,1.5969085676000487
58,2.3749610451691843,1.598055634868175
59,2.378137702448611,1.5984718989230502
60,2.3823510694014858,1.597839369265071
61,2.3879603118196346,1.5953251587035016
62,2.388551638572034,1.5970972114111894
63,2.3968029374777298,1.5895708938266397
64,2.3969641054408366,1.5913891857666778
65,2.3998683725409595,1.5920627707458368
66,2.4023145521632503,1.5930791426051678
67,2.406542396992034,1.592483830558711
68,2.409187402670136,1.593375611752279
69,2.412239617319988,1.5939610771783053
70,2.4156754658145383,1.5942184822881031
71,2.4199379521124484,1.593626150686893
72,2.42326183364232,1.5940007477107707
73,2.427926421274724,1.5929457740902944
74,2.433538907508067,1.5905917940978207
75,2.436193246739088,1.5915193259081066
76,2.441563682235941,1.589543958096642
77,2.4461366805520375,1.5886334824596189
78,2.441287354929293,1.5873845016885966
79,2.4425328015215424,1.5890626874509406
80,2.438652104939261,1.5889594826014741
81,2.444546420214189,1.5862616286109774
82,2.4512085418267224,1.5822922595225601
83,2.4549051716572188,1.582384513431994
84,2.460271164337166,1.5804913127865612
85,2.4637509384916414,1.5808019106218112
86,2.470035772477823,1.5775229356070568
87,2.470911488580897,1.5793311048228151
88,2.4744234306928825,1.579635084170196
89,2.475899243064422,1.5812718977440179
90,2.4818513536335405,1.578593883820134
91,2.489868619096967,1.5721635012968902
92,2.4962823520274298,1.568735652222687
93,2.504674681652682,1.5614871543573683
94,2.5104680270879745,1.5590341802623564
95,2.506166788484145,1.558549890345944
96,2.5116653715037116,1.5565491933268962
97,2.5145294338367745,1.5574156355702526
98,2.5162619723002577,1.558963588812423
99,2.5144008163613525,1.5604601083109066
100,2.5210566371038268,1.5567141867252394
101,2.519803293823629,1.5584621564228953
102,2.5223493993314845,1.5595897658365026
103,2.524409779866939,1.561011663020483
104,2.5315333007844805,1.5565234509765673
105,2.5328294348070757,1.5582790413953176
106,2.5312744141951016,1.5599491834747716
107,2.537807296791448,1.5565404162232792
108,2.539352110636687,1.558223620310551
