Expression,Group
0.9529003306592886,1-100
-0.8829374498133147,1-100
-0.7249418688596185,1-100
-0.6739031770352499,1-100
-0.9782997751723456,1-100
-0.4252874812675858,1-100
1.531425101409028,1-100
-0.5493404782033197,1-100
0.5524791557958696,1-100
1.788141319129888,1-100
1.2147184063322485,1-100
0.696335304986532,1-100
0.27157800811743316,1-100
-0.3718533783345394,1-100
0.12790468392201929,1-100
0.5437081475474428,1-100
-0.306644242832065,1-100
0.5872985689627945,1-100
-0.47252292094882753,1-100
0.34628180714195794,1-100
-1.0421889047544302,1-100
-0.19758779386080755,1-100
-0.5659103559139644,1-100
-0.9506407191832797,1-100
-1.3948339482829386,1-100
1.6081833979716826,1-100
0.9059738077396702,1-100
-1.2736664110026452,1-100
-0.7396198198987877,1-100
-0.2840519582887799,1-100
-0.8966136606050357,1-100
0.5711329467271762,1-100
-0.17573399018681135,1-100
1.0285000824188917,1-100
-0.37790824052621985,1-100
-0.3875777716369718,1-100
0.33005463941404345,1-100
0.4122154156239405,1-100
-1.0184889959353562,1-100
0.14199879450386932,1-100
-0.0888138091532883,1-100
0.4932331847773811,1-100
0.3401927040621195,1-100
-0.632589850822648,1-100
0.3649798150240633,1-100
-0.9204116129628231,1-100
0.6334553667330263,1-100
1.6008618397406291,1-100
0.9943003535010265,1-100
0.8999008547580575,1-100
0.06363495638997238,1-100
1.351546715339662,1-100
0.22388381663298473,1-100
0.12537878216797077,1-100
0.6698006605151874,1-100
0.6314694648043944,1-100
0.5150093841577018,1-100
-0.40242908655740045,1-100
-0.7172718639254012,1-100
0.10535143512058517,1-100
0.35444553659762384,1-100
0.8268087809336677,1-100
-0.26500560623110797,1-100
-0.2280774616331587,1-100
-0.9001184241132162,1-100
-0.2534887063661503,1-100
-0.2635862708000781,1-100
-0.7621314984262557,1-100
-0.6175854825459712,1-100
0.12946921139115541,1-100
-0.2224328226041535,1-100
-0.5618725158366955,1-100
0.2182634189140176,1-100
0.6366166613953246,1-100
0.9052259908102533,1-100
0.5659608098291808,1-100
-0.4790898895904311,1-100
-0.16272553276444157,1-100
0.6928245212339891,1-100
-0.20000596850183563,1-100
-0.5983766603426146,1-100
-0.5762834872406803,1-100
0.7023759353802635,1-100
0.7137045405306162,1-100
-0.4020937291216474,1-100
0.09316613128932945,1-100
0.5888973911400055,1-100
-0.5986479460038586,1-100
-0.1666591447505803,1-100
2.2708298581041064,1-100
-1.2066339603602987,1-100
1.0347177188616503,1-100
-0.5141190124542193,1-100
0.8883740487989578,1-100
0.7022265380980544,1-100
1.1827850788686387,1-100
0.7710652987115243,1-100
0.5672018882388016,1-100
0.4588535961092476,1-100
-0.23357503913668837,1-100
0.014767231456477873,101-200
0.5267886787159972,101-200
2.4313811944522423,101-200
-0.5341446238537843,101-200
-0.3128978096669097,101-200
0.10997944679499976,101-200
0.4249010561646214,101-200
0.34958436627149336,101-200
0.15049662449822618,101-200
1.5123427697813032,101-200
-0.8414239828405887,101-200
0.44376952720503754,101-200
0.0006404588818338408,101-200
-0.11771303190517761,101-200
0.990819132224808,101-200
-1.2612752560634086,101-200
-0.4870236519822727,101-200
-0.8465511015373972,101-200
1.8494984717541207,101-200
-0.1530169518338706,101-200
0.35340289921750173,101-200
-0.3693281600163735,101-200
-0.9419857656271361,101-200
0.5568734947304277,101-200
0.46228175558158735,101-200
-0.2721392379809288,101-200
0.39484720515844407,101-200
0.0654442944021795,101-200
-1.1813118748967602,101-200
-0.5204500168276203,101-200
0.3337874493287243,101-200
1.4177654025514232,101-200
2.7078424327249335,101-200
0.1564869067029554,101-200
0.17696737093054712,101-200
0.2773132529074368,101-200
0.5998286647239595,101-200
0.617109037448601,101-200
1.0882793155939643,101-200
0.011395476467388156,101-200
0.9821621079841333,101-200
0.918397058313255,101-200
-0.06345368812900506,101-200
0.1283404178653443,101-200
1.2389688896638718,101-200
2.2716064704223697,101-200
0.8397196995192701,101-200
0.2039424671338304,101-200
-0.20305699923881085,101-200
1.1388849986131295,101-200
1.0018629852200127,101-200
-0.8610853334449184,101-200
0.22244303513110272,101-200
0.2473790293956751,101-200
2.149368341761818,101-200
0.3029903470636826,101-200
1.0690005356812635,101-200
1.8703675958439478,101-200
0.8115352337940946,101-200
-0.19686099833203766,101-200
1.4513877789264364,101-200
0.9460869783868263,101-200
0.05142524521087169,101-200
0.7974944536810016,101-200
0.9420637371329282,101-200
0.5467431500068705,101-200
-0.27951243179325846,101-200
-0.07524329590644577,101-200
2.0006937583950717,101-200
2.139413689034767,101-200
0.1261957824212929,101-200
0.07126184310632007,101-200
0.6131986699530707,101-200
0.9816928262923125,101-200
0.26384430402394243,101-200
-0.7894452947464019,101-200
0.5986918165169988,101-200
1.6956778818295954,101-200
0.22131820566422442,101-200
1.8601505030727283,101-200
0.18199291856366442,101-200
1.1384711609782214,101-200
0.8768301056611802,101-200
0.39720727179479814,101-200
-0.6703013713801321,101-200
2.0417683498647583,101-200
2.82977760477814,101-200
-0.8206593657414392,101-200
0.15858602030867078,101-200
-0.21895516697915254,101-200
0.37547810143236526,101-200
0.5417032259333997,101-200
0.2004458598624534,101-200
-0.43836620149355726,101-200
0.27266228582346935,101-200
0.8411249807039067,101-200
-0.5634984362461927,101-200
-0.602449357277458,101-200
0.4802823499699773,101-200
0.26003592435353856,101-200
0.6756172292260486,201-300
-0.7609072347034779,201-300
-0.07420146780013281,201-300
0.13091898682998987,201-300
0.7174360615641513,201-300
-0.29129543629926863,201-300
-0.30043855834305916,201-300
0.002912743157986366,201-300
1.7644550261471592,201-300
-0.33476992232796143,201-300
0.7127742251177102,201-300
1.3144526645110393,201-300
1.4437380647867921,201-300
0.8897949936952599,201-300
1.1851241113651632,201-300
0.27787984960068673,201-300
0.917609451150827,201-300
-1.1316393693529991,201-300
0.822168010252995,201-300
0.2179028491811423,201-300
0.653132385097497,201-300
0.3284095337240397,201-300
1.159856168898188,201-300
0.17418008947782362,201-300
2.070728363693179,201-300
0.7453200712486581,201-300
-0.4279671844149221,201-300
0.8654788619930373,201-300
-0.15956059969278094,201-300
0.6792912718179529,201-300
-0.7610048705176449,201-300
-0.2645246365124213,201-300
0.2111090707373862,201-300
-0.18823221791439737,201-300
-0.2990418923107151,201-300
2.0254668468313484,201-300
0.8187108264941388,201-300
-0.6148522275196491,201-300
0.3523452278405087,201-300
0.916966507188701,201-300
3.353264092608177,201-300
-0.6414963002491582,201-300
0.030635555967439415,201-300
0.6666298243718247,201-300
1.4192560638190486,201-300
0.21192692873594896,201-300
-0.300883412970792,201-300
1.711280254151216,201-300
0.9766688917223196,201-300
0.5833683247560495,201-300
