removed_top_n,mean_remaining,std_remaining
1,2.2363089139342196,1.6245838117746336
2,2.2390827773737536,1.6250331814173347
3,2.238853367292659,1.6266591459886768
4,2.243406941259518,1.625130573860582
5,2.246717691269422,1.6250994267558097
6,2.2506184795544524,1.6244267302178375
7,2.2523005252327533,1.625643564102392
8,2.2565267506630224,1.6245869966532138
9,2.2615822067425557,1.6223698327774654
10,2.268827784987264,1.6160689210663841
11,2.274138375051924,1.6134436631759617
12,2.2797475862405707,1.6103258527625173
13,2.286658949527759,1.6047316991128069
14,2.288634645752792,1.6057900152988285
15,2.289797375024344,1.607240228623418
16,2.2890845463577483,1.6088231555420514
17,2.295926882406392,1.6034372670650385
18,2.3013904682623005,1.6006021351882849
19,2.3021695135866955,1.602173809464719
20,2.302833020971032,1.6037758554580503
21,2.305659649968462,1.6042542185583477
22,2.3056068933264853,1.6059310169187413
23,2.3090474669915926,1.6058526776811157
24,2.310037952687454,1.6073930523793567
25,2.3139547378345373,1.6068134320490182
26,2.3150722454789148,1.608323087567536
27,2.312086832998909,1.6087098113307898
28,2.311802379822688,1.6104011686653221
29,2.318175701343691,1.6061524799226214
30,2.316786692600683,1.6075776327769764
31,2.3223595747648123,1.6047489819503782
32,2.3296825654663826,1.5986154058971649
33,2.3328858524301865,1.5988249938748973
34,2.3292577424862775,1.5986180443238096
35,2.33138899264976,1.5996746056474742
36,2.3315392723861668,1.6013941862958998
37,2.333664575970533,1.6024688105861986
38,2.339407889075841,1.5994349545355246
39,2.332575708329499,1.5944202209836513
40,2.333386948396152,1.5960573051697773
41,2.3381966930047424,1.5944614558626014
42,2.3385103765794804,1.5961870376643819
43,2.3360042743192704,1.5970321384548418
44,2.3371276804744143,1.5986019284512556
45,2.3362315200406916,1.6002432489383274
46,2.340502068907082,1.599412653002847
47,2.345845575355366,1.5971239183850703
48,2.3517881992252336,1.5938791012842954
49,2.356065933843387,1.5930512746179228
50,2.359019564616566,1.5935863490951034
51,2.36296600274709,1.5931619266829835
52,2.3655143393434876,1.5940246725269247
53,2.368443751283533,1.594601686292002
54,2.3695996094393275,1.5962012986067138
55,2.3711932784195304,1.5976393110900695
56,2.374245144158696,1.5981412497290277
57,2.379891180545715,1.595514683588967
58,2.3804533242374517,1.5972747236899316
59,2.386164488990343,1.5945704378113632
60,2.389101947173084,1.5951891433061145
61,2.393774843328634,1.5939940405291566
62,2.401060197356571,1.5884953323903608
63,2.4063081459142097,1.5865146266289427
64,2.409350380845536,1.5870592750482206
65,2.4099949582859437,1.5888254276375946
66,2.4120768515038904,1.590062055409797
67,2.4172950972696636,1.5881808792966898
68,2.4240897007873183,1.583719372806591
69,2.4273548567943277,1.5841025243386515
70,2.4317806675236553,1.58327958202979
71,2.4345030002124006,1.5841182911928893
72,2.4405367162891314,1.5810363241985788
73,2.445962643012031,1.5789012916819758
74,2.4422623414273525,1.5789029902360714
75,2.4497601154566295,1.573166266804885
76,2.4528018463400016,1.573771541385279
77,2.4530401499791976,1.5756230524053418
78,2.4605389400496476,1.5699314760890803
79,2.466587549310394,1.5668758864315553
80,2.472762601610018,1.5636151235916311
81,2.476402028584394,1.5637020942995459
82,2.4715787030706005,1.5624551521292966
83,2.4744830230209693,1.5632001140252878
84,2.478971874430165,1.5623911676634983
85,2.4816743409919746,1.5633010153236606
86,2.48728435486859,1.561010007272618
87,2.4933820554742177,1.5579663157120387
88,2.4993441301577213,1.5551430192013926
89,2.502602300697478,1.5556286532236565
90,2.503945895801762,1.5572864031265181
91,2.5043796664380427,1.5591642751684478
92,2.5099455252439657,1.5570103503065067
93,2.518371425319382,1.5496036308467802
94,2.5194751698897377,1.5513510388516423
95,2.522633347396985,1.551961021329322
96,2.528685264284093,1.549100204367056
97,2.5307038459991724,1.5504902110593912
98,2.5365566348166797,1.547964865038852
99,2.543121895092201,1.5442938549062382
100,2.5389582471094307,1.5439734121100106
101,2.540241302925605,1.5456940109811017
102,2.536391594224213,1.54572301291106
103,2.536003223845838,1.5476491488428332
104,2.53089256020603,1.546252638299042
105,2.5380505274558667,1.5416421354275278
106,2.5396967334298264,1.5432505173284914
107,2.5447044662342275,1.542012248881634
108,2.544891015292636,1.5439734194411363
109,2.548060954630151,1.5446720412427521
110,2.5532939688868255,1.5431857886894649
111,2.555996996639669,1.5442457080459029
112,2.5572195270047353,1.5460464209209068
113,2.560698646140996,1.5465249626582978
114,2.561653193943928,1.5484130769402469
115,2.5653624024557633,1.5487090977243463
116,2.5680596757207907,1.5498209505628342
117,2.564213217942619,1.5500112917131637
118,2.5616952261510173,1.551256276322164
119,2.5716137595089386,1.5411462957172304
120,2.5735968247404974,1.542687249977239
121,2.575329390664372,1.544351854417826
122,2.5815534043518458,1.5416388684435325
123,2.5859213848284743,1.5413443986866253
124,2.584121746214185,1.5429970933313746
125,2.587389247734109,1.5437533960743588
126,2.590510938669958,1.5446333916138832
127,2.593407433634264,1.5456878944851906
128,2.596590325489386,1.5465428308501261
129,2.598271755136048,1.54828611477595
130,2.596792739458241,1.5501152302313115
131,2.598971584730673,1.5516483201780829
132,2.6061675030459277,1.547594151288224
133,2.6016816661015336,1.5473100874544248
134,2.606128732989947,1.5470785405113479
135,2.609271334582011,1.5480293335382007
136,2.6045889756312315,1.5475709620531302
137,2.6090268677548925,1.5473864008733236
138,2.613951714824787,1.5466786369782353
139,2.610772622510195,1.5476378260370678
140,2.6108141155955873,1.549785631861367
141,2.6109319674545435,1.551940995739667
142,2.6204380479050147,1.5436344541747125
143,2.625893789441875,1.5423443023590497
144,2.6295779394803453,1.5429395630155418
145,2.6372743589717538,1.5382720734221578
146,2.6399806819976543,1.5395990698755888
147,2.637721223722269,1.5411920672366557
148,2.637392095960934,1.5433673198510198
149,2.641988679315687,1.5431564080779292
150,2.643022367040331,1.5452379938148637
151,2.6510080400050686,1.5402215222469646
152,2.6578076629689353,1.5371933093714636
153,2.6622290340074493,1.5371955234097165
154,2.663782899490475,1.5391431511372164
155,2.6609917019908553,1.5404975118724598
156,2.6681596480512053,1.536979282494801
157,2.6703051855981252,1.5387036609871794
158,2.668534435747063,1.5406025750218615
159,2.6707158626867664,1.542332366034271
160,2.67395218032304,1.543442262136234
161,2.6747311831481424,1.5456503062146745
162,2.676406822678438,1.5476275993615471
163,2.6830683179546173,1.5450758992124407
164,2.6905571611011267,1.5412542228210058
165,2.6989934776123468,1.5357870672125178
166,2.704088318391643,1.5352550237991909
167,2.707090450498657,1.5365792579318003
168,2.7157785164146704,1.5307030479793693
169,2.715764703769391,1.533013523801882
170,2.7183340981869035,1.534622715818756
171,2.7133617221833837,1.5342965962521224
172,2.7168756888909162,1.5353112376295408
173,2.724552752724201,1.5313581104233995
174,2.7294604563228626,1.5311352371405487
175,2.7377494610816226,1.5261683716875938
176,2.739733409445028,1.5281032490775637
177,2.7376115857165066,1.5299902804065657
178,2.7405646471489793,1.5314448396366718
179,2.7437985542088437,1.532730267883593
180,2.7448703842045434,1.535003174913913
181,2.742532831104131,1.5368384864317974
182,2.7382229656623696,1.5373270307892513
183,2.744371309538002,1.5358413854413193
184,2.7428248633085603,1.538023160329065
185,2.7503189091849682,1.5346915081695176
186,2.748902167463838,1.536927667845976
187,2.7569598370684614,1.5327448170617355
188,2.7582468930289,1.5350302976588128
189,2.758278161569222,1.5374961121699553
190,2.76626126339426,1.5335252710400158
191,2.768928782448594,1.5352864819937382
192,2.771044221778371,1.537327134323456
193,2.777107186987715,1.536148126449625
194,2.7797451124341155,1.537961756817762
195,2.7788763100068596,1.5404059723469032
196,2.7848404815651757,1.539417659275585
197,2.7863894373316054,1.5417193317092954
198,2.782950966114662,1.5431094024881524
199,2.78151368068445,1.5454687569395293
200,2.782135445063231,1.5480048106292743
201,2.7813360966992193,1.5505294743570344
202,2.7793403045822305,1.5527453969071
203,2.7854351496177374,1.5517945507415334
204,2.785930540173556,1.5543901696874334
205,2.794441153374216,1.5501224557341002
206,2.7967429878033823,1.5522530874237068
207,2.8062678047471517,1.546299082666292
208,2.8033864247732088,1.548159152159212
209,2.7982630005252824,1.5483437371589979
210,2.8109920824606434,1.5357358247452302
211,2.818887480885968,1.5325036860582826
212,2.8216629222714773,1.5344367395140248
213,2.812815582738373,1.5297570417285657
214,2.8083950209168043,1.5305981184488087
215,2.8087642005062046,1.5332683155949427
216,2.819081970580577,1.5260568527091263
217,2.817723475425217,1.5285792564858918
218,2.820627063627936,1.5305078485419181
219,2.830793524516892,1.523694115378979
220,2.832561428004956,1.526124857748213
221,2.8261114613506275,1.5250430737277938
222,2.8340063898862944,1.522081589702235
223,2.8376409558017444,1.5236218760469666
224,2.83437055226415,1.5254087688001199
225,2.8462694607395167,1.5153402502466242
226,2.8448659891227916,1.5179245350737274
227,2.837287909369387,1.5155196217808795
228,2.84383575306596,1.5144435177496103
229,2.839532954378314,1.515574671138716
230,2.841145912881664,1.5181465095041826
231,2.8364537259065536,1.5190102867131121
232,2.842174137455844,1.5189468086764082
233,2.8466443913682538,1.520027997867226
234,2.8489473027574896,1.522417531603316
235,2.8509377866119516,1.5249417980490765
236,2.849795863082004,1.5277141236075074
237,2.8477776205972094,1.5302644463443285
238,2.847425425370766,1.5331713780592418
239,2.851361254172786,1.5347840513101902
240,2.84443491853295,1.5336559886746715
241,2.8506077783077735,1.5333867972633342
242,2.849745312657953,1.5362929027086276
243,2.855247699099211,1.5367394868002286
244,2.859711362088198,1.5380743104408054
245,2.8608367261692713,1.5409819992729572
246,2.8608211871480402,1.5440124286704948
247,2.8714313552205066,1.537791593235991
248,2.87753251286389,1.5377806799191052
249,2.887347380890115,1.5329433256909255
250,2.8819649039237647,1.5336372338685114
251,2.886623838132139,1.534947134140048
252,2.8933762741524394,1.5343434116214139
253,2.8900893314824314,1.536574608706324
254,2.893984806768587,1.5384769031310697
255,2.8924999151625697,1.5414375229878319
256,2.8935256710051296,1.5445095275750946
257,2.897026320061003,1.5467179718185744
258,2.891150478733945,1.5472014972369703
259,2.894997305400383,1.5492528049453627
260,2.8996790937921544,1.550774808926529
261,2.897276444291637,1.5535698914698735
262,2.8994696330228513,1.5564610143759436
263,2.9001268368846187,1.5597082775777007
264,2.9015740089740834,1.56285046260673
265,2.901055272984319,1.566151872465534
266,2.9030448521901846,1.5691984082179358
267,2.916987647495816,1.5580314033813358
268,2.9155384790320538,1.5612289168397309
269,2.9244243745910445,1.5587395164533986
270,2.9305588064352004,1.5593395519281505
271,2.939255255420843,1.5571651885277986
272,2.9334787092727757,1.5581261080239561
273,2.9378030513570312,1.560188561702588
274,2.946586151099106,1.5580268508743862
275,2.954707727709462,1.5567046485598421
276,2.9591965750123967,1.558721945610843
277,2.9643031893220955,1.5603422291485451
278,2.9648336758574314,1.5638325002061206
279,2.971687993179831,1.5640358358783235
280,2.967186409251481,1.5661573428721511
281,2.951866991142584,1.5531962013550658
282,2.9617086240585313,1.549926686916303
283,2.9525695741593245,1.5476224569560415
284,2.9557792639690557,1.5504800227354916
285,2.9660447179798455,1.5467409802193728
286,2.980371536392827,1.5360523180806431
287,2.988518300469307,1.5350344803303169
288,2.9874156957594105,1.538566434047798
289,2.9803421765004465,1.5387651591846878
290,2.977610721794099,1.5419141371882494
291,2.9706011305001816,1.542256976974862
292,2.981327960056105,1.538162342829913
293,2.975834975332414,1.5398367159677149
294,2.975242788003056,1.5435461444444636
295,2.976999691677195,1.5471008235244903
296,2.9723062963518467,1.5494315642483347
297,2.973680855083218,1.5531191289518773
298,2.9788519421602615,1.5552145383579936
299,2.99559120960457,1.540819435911934
300,2.9958246231087187,1.5446631367064287
301,3.0060906297267542,1.5417184885396034
302,3.0025057474381263,1.5447792715524415
303,2.998555959326576,1.5476974673616593
304,2.999325614464413,1.551603047264662
305,2.9886600100748626,1.5483933685242866
306,2.9972997097352767,1.5476836642684844
307,3.0148218924089054,1.5323747967660473
308,3.010413074396542,1.535138792240332
309,3.00857862615257,1.538942325256693
310,3.009277014833474,1.5429566703326334
311,3.0013201582455165,1.5431404556995751
312,2.986752795056008,1.534223431194675
313,3.003178995434565,1.5217433271269654
314,3.0016058728047055,1.5256768979016626
315,3.003271734792749,1.529626077508894
316,3.017963778210562,1.520703329387064
317,3.019290025072423,1.5247464693486914
318,3.0213457284991336,1.5286766708572823
319,3.023613115890059,1.5325884901920717
320,3.0288670578628696,1.535213410179299
321,3.0354101773314826,1.5369908617620742
322,3.040308512800939,1.5399083143826755
323,3.0419254570845875,1.5441015215348435
324,3.05652198210688,1.5362568206366953
325,3.0555335557945105,1.5405840676262594
