order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.8811416971137725,1.0
2,1,0,0.8794948953020995,2.0
3,2,0,0.8793694654909168,3.0
4,3,0,0.8759785237741798,4.0
5,4,0,0.8683207941216924,5.0
6,5,0,0.8681021509771588,6.0
7,5,0,0.8672900613712944,6.0
8,6,0,0.8632158045450866,7.0
9,6,0,0.8624231724967398,7.0
10,6,0,0.8608152049622314,7.0
11,6,0,0.8607793596195905,7.0
12,7,0,0.8595246439842326,8.0
13,8,0,0.859282668241041,9.0
14,9,0,0.8565012928765132,10.0
15,9,0,0.8501536382147723,10.0
16,10,0,0.848836168521208,11.0
17,10,0,0.8484162336923613,11.0
18,10,0,0.8478909693846064,11.0
19,11,0,0.8473837999149698,12.0
20,12,0,0.8470473567065158,13.0
21,12,0,0.8469298055973393,13.0
22,13,0,0.8453223467598427,14.0
23,14,0,0.8401399096591813,15.0
24,15,0,0.8361847493531277,16.0
25,15,0,0.8353519271603709,16.0
26,15,0,0.8352677810345943,16.0
27,15,0,0.833552964640518,16.0
28,15,0,0.8328835600163695,16.0
29,15,0,0.8301882233284189,16.0
30,15,0,0.8288546433465774,16.0
31,15,0,0.8257722150696707,16.0
32,16,0,0.8245329030371713,17.0
33,16,0,0.8236627950774731,17.0
34,17,0,0.8233504497442199,18.0
35,17,0,0.8232664107611852,18.0
36,17,0,0.8231742261026121,18.0
37,17,1,0.816014611055485,9.0
38,17,1,0.8159673938983912,9.0
39,17,1,0.8152082711056077,9.0
40,17,1,0.8140306591291057,9.0
41,17,2,0.8130066286817226,6.0
42,17,2,0.812343263499323,6.0
43,17,2,0.8113974666626668,6.0
44,17,2,0.811384543902146,6.0
45,18,2,0.8107547183576539,6.333333333333333
46,18,2,0.8099603767969485,6.333333333333333
47,19,2,0.8089441924180809,6.666666666666667
48,20,2,0.8081823126613539,7.0
49,21,2,0.8075796825517585,7.333333333333333
50,22,2,0.8059991798951454,7.666666666666667
51,23,2,0.805639642784528,8.0
52,24,2,0.8046693835136242,8.333333333333334
53,24,2,0.80324499833454,8.333333333333334
54,24,2,0.8025559177381848,8.333333333333334
55,25,2,0.8014457386727388,8.666666666666666
56,25,2,0.7980037551637921,8.666666666666666
57,26,2,0.7975191679481106,9.0
58,26,2,0.7967812159969117,9.0
59,27,2,0.7959521504323354,9.333333333333334
60,28,2,0.7957063063030837,9.666666666666666
61,29,2,0.7956804788521727,10.0
62,29,2,0.7956079526795836,10.0
63,30,2,0.7952423271289293,10.333333333333334
64,31,2,0.7941532415144764,10.666666666666666
65,31,2,0.7940414118304472,10.666666666666666
66,31,3,0.7912461321237683,8.0
67,31,3,0.7902021421714166,8.0
68,31,3,0.789988686008845,8.0
69,32,3,0.7853518457176765,8.25
70,33,3,0.7836152899233635,8.5
71,33,3,0.7835025569812165,8.5
72,33,3,0.7815374885021357,8.5
73,34,3,0.7808873627569034,8.75
74,35,3,0.7803327743152002,9.0
75,36,3,0.7801362386846165,9.25
76,36,3,0.7711463129118707,9.25
77,37,3,0.7707495094873208,9.5
78,38,3,0.7701714041457485,9.75
79,38,3,0.7662098446567079,9.75
80,38,3,0.765328722320488,9.75
81,39,3,0.7625097414539301,10.0
82,39,3,0.7617260662461172,10.0
83,39,3,0.7592864268382691,10.0
84,39,3,0.7579419662592024,10.0
85,40,3,0.756717032764741,10.25
86,40,3,0.7553608382190361,10.25
87,41,3,0.7551990128107731,10.5
88,41,3,0.7547860821888548,10.5
89,41,3,0.7546964632034681,10.5
90,41,3,0.7546896943361706,10.5
91,41,3,0.7543780378694376,10.5
92,42,3,0.7523729744236023,10.75
93,42,4,0.7523562331198316,8.6
94,43,4,0.7521507259080885,8.8
95,44,4,0.7520886388562151,9.0
96,45,4,0.7518747551977276,9.2
97,46,4,0.7514719054985908,9.4
98,47,4,0.7499976530230171,9.6
99,47,4,0.7496455015717333,9.6
100,47,4,0.7487707137205211,9.6
101,47,4,0.7486882204729598,9.6
102,48,4,0.748340953952516,9.8
103,48,5,0.7471698821781788,8.166666666666666
104,48,5,0.7467642630782931,8.166666666666666
105,48,5,0.7465027226359733,8.166666666666666
106,48,6,0.7452987315485644,7.0
107,48,6,0.7448640773629686,7.0
108,48,7,0.744552232475076,6.125
109,48,8,0.743515243485311,5.444444444444445
110,48,8,0.7431301142757056,5.444444444444445
111,49,8,0.7414892723356064,5.555555555555555
112,49,8,0.7391869024169064,5.555555555555555
113,49,8,0.7380742392080811,5.555555555555555
114,49,8,0.7365039542892717,5.555555555555555
115,49,8,0.7358548843821018,5.555555555555555
116,49,8,0.7344636412277977,5.555555555555555
117,49,8,0.7343809772121515,5.555555555555555
118,49,8,0.7333045284304109,5.555555555555555
119,49,9,0.7326520093049963,5.0
120,50,9,0.7324522285642356,5.1
121,50,9,0.732040313435024,5.1
122,50,9,0.7300973668923418,5.1
123,50,9,0.7300792904480776,5.1
124,50,9,0.7295436792976748,5.1
125,50,10,0.7292848862231106,4.636363636363637
126,50,10,0.7286845542978784,4.636363636363637
127,51,10,0.7285918151149884,4.7272727272727275
128,51,10,0.7282661005589797,4.7272727272727275
129,51,10,0.7279224059353533,4.7272727272727275
130,51,10,0.7268917356519342,4.7272727272727275
131,51,10,0.7236937835899755,4.7272727272727275
132,51,10,0.7236279880028367,4.7272727272727275
133,51,11,0.7220344565901805,4.333333333333333
134,51,11,0.7217799586485671,4.333333333333333
135,52,11,0.7212204776808234,4.416666666666667
136,52,11,0.719985604452804,4.416666666666667
137,53,11,0.7186363615252541,4.5
138,54,11,0.718441967853967,4.583333333333333
139,55,11,0.7177602462600523,4.666666666666667
140,56,11,0.7174246778722548,4.75
141,56,11,0.7162712274116718,4.75
142,56,11,0.7160657891500726,4.75
143,56,12,0.714941691946329,4.384615384615385
144,57,12,0.7145483258617527,4.461538461538462
145,57,12,0.7127781969355855,4.461538461538462
146,58,12,0.712498404108821,4.538461538461538
147,59,12,0.7121024737039179,4.615384615384615
148,59,12,0.7117873880405636,4.615384615384615
149,60,12,0.7115455754863649,4.6923076923076925
150,60,12,0.7115382109730373,4.6923076923076925
151,60,12,0.7113350874513126,4.6923076923076925
152,61,12,0.7108430911812059,4.769230769230769
153,61,12,0.7105839343009819,4.769230769230769
154,62,12,0.7104500736115849,4.846153846153846
155,62,12,0.7096448714404939,4.846153846153846
156,63,12,0.7088997094225296,4.923076923076923
157,63,12,0.7088551876796827,4.923076923076923
158,63,12,0.708661175309762,4.923076923076923
159,63,12,0.7082028733659609,4.923076923076923
160,63,12,0.707971821720838,4.923076923076923
161,64,12,0.7054791923920671,5.0
162,64,12,0.7040585410375344,5.0
163,64,12,0.7028070925675463,5.0
164,64,12,0.7025937011344827,5.0
165,64,12,0.702449990216419,5.0
166,64,12,0.7001518957016684,5.0
167,64,12,0.6985541306563681,5.0
168,64,12,0.6984214173328427,5.0
