removed_top_n,positive_ratio_remaining
1,0.20036429872495445
2,0.20072992700729927
3,0.20109689213893966
4,0.19963369963369965
5,0.2
6,0.20036764705882354
7,0.2007366482504604
8,0.1992619926199262
9,0.19963031423290203
10,0.2
11,0.20037105751391465
12,0.20074349442379183
13,0.2011173184357542
14,0.20149253731343283
15,0.20186915887850468
16,0.20224719101123595
17,0.2026266416510319
18,0.20300751879699247
19,0.2033898305084746
20,0.2037735849056604
21,0.20415879017013233
22,0.20454545454545456
23,0.2049335863377609
24,0.20532319391634982
25,0.2057142857142857
26,0.20610687022900764
27,0.20650095602294455
28,0.20689655172413793
29,0.2053742802303263
30,0.20576923076923076
31,0.20616570327552985
32,0.20656370656370657
33,0.20696324951644102
34,0.20736434108527133
35,0.20776699029126214
36,0.20817120622568094
37,0.20857699805068225
38,0.208984375
39,0.20939334637964774
40,0.20980392156862746
41,0.21021611001964635
42,0.2106299212598425
43,0.21104536489151873
44,0.21146245059288538
45,0.21188118811881188
46,0.2123015873015873
47,0.21272365805168986
48,0.21314741035856574
49,0.21357285429141717
50,0.214
51,0.21442885771543085
52,0.21485943775100402
53,0.2152917505030181
54,0.2157258064516129
55,0.21616161616161617
56,0.2165991902834008
57,0.21703853955375255
58,0.21747967479674796
59,0.21792260692464357
60,0.2163265306122449
61,0.2167689161554192
62,0.21721311475409835
63,0.21765913757700206
64,0.21810699588477367
65,0.21649484536082475
66,0.21694214876033058
67,0.21739130434782608
68,0.21784232365145229
69,0.2182952182952183
70,0.21875
71,0.21920668058455114
72,0.2196652719665272
73,0.22012578616352202
74,0.22058823529411764
75,0.22105263157894736
76,0.22151898734177214
77,0.2219873150105708
78,0.22245762711864406
79,0.2229299363057325
80,0.22340425531914893
81,0.22388059701492538
82,0.22435897435897437
83,0.22483940042826553
84,0.22532188841201717
85,0.22580645161290322
86,0.22629310344827586
87,0.2267818574514039
88,0.22727272727272727
89,0.227765726681128
90,0.22608695652173913
91,0.22657952069716775
92,0.22707423580786026
93,0.2275711159737418
94,0.22807017543859648
95,0.22857142857142856
96,0.2290748898678414
97,0.22737306843267108
98,0.22787610619469026
99,0.22838137472283815
100,0.2288888888888889
101,0.22939866369710468
102,0.22991071428571427
103,0.23042505592841164
104,0.23094170403587444
105,0.23146067415730337
106,0.23198198198198197
107,0.2325056433408578
108,0.2330316742081448
109,0.23356009070294784
110,0.2340909090909091
111,0.23462414578587698
112,0.23515981735159816
113,0.23569794050343248
114,0.23623853211009174
115,0.23448275862068965
116,0.2350230414746544
117,0.23325635103926096
118,0.2337962962962963
119,0.23433874709976799
120,0.23488372093023255
121,0.23543123543123542
122,0.23598130841121495
123,0.234192037470726
124,0.2347417840375587
125,0.23529411764705882
126,0.2358490566037736
127,0.2364066193853428
128,0.23696682464454977
129,0.2375296912114014
130,0.23809523809523808
131,0.2386634844868735
132,0.23923444976076555
133,0.23980815347721823
134,0.2403846153846154
135,0.24096385542168675
136,0.24154589371980675
137,0.24213075060532688
138,0.24271844660194175
139,0.24330900243309003
140,0.24390243902439024
141,0.24449877750611246
142,0.24509803921568626
143,0.2457002457002457
144,0.24630541871921183
145,0.24691358024691357
146,0.24752475247524752
147,0.24813895781637718
148,0.24875621890547264
149,0.24937655860349128
150,0.25
151,0.2506265664160401
152,0.25125628140703515
153,0.2518891687657431
154,0.25252525252525254
155,0.25316455696202533
156,0.25380710659898476
157,0.2544529262086514
158,0.25510204081632654
159,0.2557544757033248
160,0.2564102564102564
161,0.2570694087403599
162,0.25773195876288657
163,0.25839793281653745
164,0.25647668393782386
165,0.2571428571428571
166,0.2578125
167,0.2584856396866841
168,0.2591623036649215
169,0.25984251968503935
170,0.26052631578947366
171,0.2612137203166227
172,0.2619047619047619
173,0.2625994694960212
174,0.26063829787234044
175,0.25866666666666666
176,0.25935828877005346
177,0.26005361930294907
178,0.260752688172043
179,0.261455525606469
180,0.26216216216216215
181,0.2601626016260163
182,0.2608695652173913
183,0.2615803814713896
184,0.26229508196721313
185,0.26301369863013696
186,0.26373626373626374
187,0.2644628099173554
188,0.26519337016574585
189,0.2659279778393352
190,0.26666666666666666
191,0.26740947075208915
192,0.2681564245810056
193,0.2689075630252101
194,0.26685393258426965
195,0.2676056338028169
196,0.268361581920904
197,0.26912181303116145
198,0.26988636363636365
199,0.2706552706552707
200,0.2714285714285714
201,0.2722063037249284
202,0.27298850574712646
203,0.2737752161383285
204,0.2745664739884393
205,0.27246376811594203
206,0.27325581395348836
207,0.27405247813411077
208,0.27485380116959063
209,0.2756598240469208
210,0.27647058823529413
211,0.27728613569321536
212,0.2781065088757396
213,0.2789317507418398
214,0.27976190476190477
215,0.28059701492537314
216,0.27844311377245506
217,0.27927927927927926
218,0.28012048192771083
219,0.2809667673716012
220,0.2818181818181818
221,0.2826747720364742
222,0.28353658536585363
223,0.28440366972477066
224,0.2852760736196319
225,0.28615384615384615
226,0.28703703703703703
227,0.2848297213622291
228,0.2857142857142857
229,0.2866043613707165
230,0.2875
231,0.2884012539184953
232,0.2861635220125786
233,0.2870662460567823
234,0.2848101265822785
235,0.2857142857142857
236,0.28662420382165604
237,0.28753993610223644
238,0.28846153846153844
239,0.28938906752411575
240,0.2903225806451613
241,0.2912621359223301
242,0.2922077922077922
243,0.2931596091205212
244,0.29411764705882354
245,0.29508196721311475
246,0.29605263157894735
247,0.297029702970297
248,0.2980132450331126
249,0.2956810631229236
250,0.2966666666666667
251,0.2976588628762542
252,0.2986577181208054
253,0.2996632996632997
254,0.30067567567567566
255,0.3016949152542373
256,0.30272108843537415
257,0.3037542662116041
258,0.3047945205479452
259,0.30584192439862545
260,0.30689655172413793
261,0.3044982698961938
262,0.3055555555555556
263,0.30662020905923343
264,0.3076923076923077
265,0.3087719298245614
266,0.30633802816901406
267,0.30742049469964666
268,0.30851063829787234
269,0.3096085409252669
270,0.3107142857142857
271,0.3118279569892473
272,0.3129496402877698
273,0.3140794223826715
274,0.31521739130434784
275,0.31636363636363635
276,0.31386861313868614
277,0.315018315018315
278,0.3125
279,0.30996309963099633
280,0.3111111111111111
281,0.31226765799256506
282,0.31343283582089554
283,0.3146067415730337
284,0.3157894736842105
285,0.3132075471698113
286,0.3143939393939394
287,0.3155893536121673
288,0.31679389312977096
289,0.31800766283524906
290,0.3192307692307692
291,0.3204633204633205
292,0.32170542635658916
293,0.3229571984435798
294,0.32421875
295,0.3254901960784314
296,0.32677165354330706
297,0.32806324110671936
298,0.32936507936507936
299,0.33067729083665337
300,0.332
301,0.3333333333333333
302,0.33064516129032256
303,0.3319838056680162
304,0.3333333333333333
305,0.3346938775510204
306,0.3360655737704918
307,0.3374485596707819
308,0.33884297520661155
309,0.34024896265560167
310,0.3416666666666667
311,0.34309623430962344
312,0.3403361344537815
313,0.34177215189873417
314,0.3432203389830508
315,0.3446808510638298
316,0.34615384615384615
317,0.34763948497854075
318,0.34913793103448276
319,0.35064935064935066
320,0.3521739130434783
321,0.3537117903930131
322,0.35526315789473684
323,0.3568281938325991
324,0.3584070796460177
325,0.36
326,0.36160714285714285
327,0.3632286995515695
328,0.36486486486486486
329,0.3665158371040724
330,0.36818181818181817
331,0.3698630136986301
332,0.37155963302752293
333,0.37327188940092165
334,0.37037037037037035
335,0.37209302325581395
336,0.37383177570093457
337,0.3755868544600939
338,0.37264150943396224
339,0.3744075829383886
340,0.3761904761904762
341,0.37799043062200954
342,0.3798076923076923
343,0.38164251207729466
344,0.38349514563106796
345,0.3853658536585366
346,0.3872549019607843
347,0.3891625615763547
348,0.3910891089108911
349,0.39303482587064675
350,0.395
351,0.3969849246231156
352,0.398989898989899
353,0.39593908629441626
354,0.3979591836734694
355,0.4
356,0.4020618556701031
357,0.40414507772020725
358,0.4010416666666667
359,0.4031413612565445
360,0.4052631578947368
361,0.4074074074074074
362,0.4095744680851064
363,0.4117647058823529
364,0.41397849462365593
365,0.41621621621621624
366,0.41847826086956524
367,0.4207650273224044
368,0.4230769230769231
369,0.4198895027624309
370,0.4222222222222222
371,0.4245810055865922
372,0.42696629213483145
373,0.4293785310734463
374,0.42613636363636365
375,0.42857142857142855
376,0.43103448275862066
377,0.4277456647398844
378,0.43023255813953487
379,0.4269005847953216
380,0.4294117647058823
381,0.4319526627218935
382,0.43452380952380953
383,0.437125748502994
384,0.43373493975903615
385,0.4303030303030303
386,0.4329268292682927
387,0.43558282208588955
388,0.4382716049382716
389,0.43478260869565216
390,0.4375
391,0.4339622641509434
392,0.43037974683544306
393,0.43312101910828027
394,0.4358974358974359
395,0.43870967741935485
396,0.44155844155844154
397,0.4444444444444444
398,0.4473684210526316
399,0.4503311258278146
400,0.4533333333333333
401,0.4563758389261745
402,0.4594594594594595
403,0.4557823129251701
404,0.4589041095890411
