Label,TopK,Value,Control
MPRA_HepG2,400,1.2388243324641866,1.0
MPRA_K562,400,1.0682138933542102,1.0
MPRA_SKNSH,400,1.038270401993904,1.0
epigenetics_ELF1,400,1.1530229041436626,1.0
epigenetics_HNF1A,400,1.1107425132557787,1.0
epigenetics_HNF4A,400,1.015204946421184,1.0
MPRA_HepG2,300,1.472254035383056,1.0
MPRA_K562,300,1.1439301911450637,1.0
MPRA_SKNSH,300,1.0790617429321425,1.0
epigenetics_ELF1,300,1.2271998547117182,1.0
epigenetics_HNF1A,300,1.2167841970284976,1.0
epigenetics_HNF4A,300,1.0161219416738823,1.0
MPRA_HepG2,200,1.6632507991708056,1.0
MPRA_K562,200,1.2374715040314683,1.0
MPRA_SKNSH,200,1.1671663194573596,1.0
epigenetics_ELF1,200,1.330036353718328,1.0
epigenetics_HNF1A,200,1.3707180281604574,1.0
epigenetics_HNF4A,200,1.0307580970893564,1.0
MPRA_HepG2,100,2.1259049129072647,1.0
MPRA_K562,100,1.2695134146539935,1.0
MPRA_SKNSH,100,1.1354790364521725,1.0
epigenetics_ELF1,100,1.4226807560606487,1.0
epigenetics_HNF1A,100,1.6332708982328072,1.0
epigenetics_HNF4A,100,1.036109255102467,1.0
