Label,TopK,Value,Control
MPRA_HepG2,400,1.242028618204833,1.0
MPRA_K562,400,1.0682138933542096,1.0
MPRA_SKNSH,400,1.0393154133120899,1.0
epigenetics_ELF1,400,1.1488847846031902,1.0
epigenetics_HNF1A,400,1.110876091701678,1.0
epigenetics_HNF4A,400,1.014923934732527,1.0
MPRA_HepG2,300,1.4575287032926971,1.0
MPRA_K562,300,1.1439301911450637,1.0
MPRA_SKNSH,300,1.0850623679154867,1.0
epigenetics_ELF1,300,1.2278976983986851,1.0
epigenetics_HNF1A,300,1.2238653816328053,1.0
epigenetics_HNF4A,300,1.0215932466915492,1.0
MPRA_HepG2,200,1.6861979184343407,1.0
MPRA_K562,200,1.2374715040314683,1.0
MPRA_SKNSH,200,1.1467790745785098,1.0
epigenetics_ELF1,200,1.3185180561993646,1.0
epigenetics_HNF1A,200,1.3768205895593162,1.0
epigenetics_HNF4A,200,1.0321994489092765,1.0
MPRA_HepG2,100,2.0857198667680805,1.0
MPRA_K562,100,1.243658247215328,1.0
MPRA_SKNSH,100,1.150321638188251,1.0
epigenetics_ELF1,100,1.4208330475078936,1.0
epigenetics_HNF1A,100,1.672651142769364,1.0
epigenetics_HNF4A,100,1.0353323451393184,1.0
