removed_top_n,positive_ratio_remaining
1,0.1989051094890511
2,0.19926873857404023
3,0.19963369963369965
4,0.2
5,0.20036764705882354
6,0.2007366482504604
7,0.2011070110701107
8,0.20147874306839186
9,0.20185185185185187
10,0.20222634508348794
11,0.20260223048327136
12,0.20297951582867785
13,0.20335820895522388
14,0.20373831775700935
15,0.20411985018726592
16,0.2045028142589118
17,0.20488721804511278
18,0.20527306967984935
19,0.20566037735849058
20,0.2060491493383743
21,0.20643939393939395
22,0.20683111954459202
23,0.20722433460076045
24,0.20761904761904762
25,0.20801526717557253
26,0.2084130019120459
27,0.20881226053639848
28,0.2092130518234165
29,0.20961538461538462
30,0.21001926782273603
31,0.21042471042471042
32,0.21083172147001933
33,0.21124031007751937
34,0.21165048543689322
35,0.21206225680933852
36,0.2124756335282651
37,0.212890625
38,0.21330724070450097
39,0.21176470588235294
40,0.21218074656188604
41,0.2125984251968504
42,0.21301775147928995
43,0.2134387351778656
44,0.21386138613861386
45,0.21428571428571427
46,0.2147117296222664
47,0.2151394422310757
48,0.2155688622754491
49,0.216
50,0.21643286573146292
51,0.21686746987951808
52,0.21730382293762576
53,0.2157258064516129
54,0.21616161616161617
55,0.2165991902834008
56,0.21703853955375255
57,0.21747967479674796
58,0.21792260692464357
59,0.21836734693877552
60,0.21881390593047034
61,0.2192622950819672
62,0.21971252566735114
63,0.22016460905349794
64,0.22061855670103092
65,0.22107438016528927
66,0.2194616977225673
67,0.21991701244813278
68,0.2203742203742204
69,0.22083333333333333
70,0.22129436325678498
71,0.2217573221757322
72,0.2222222222222222
73,0.22268907563025211
74,0.2231578947368421
75,0.22362869198312235
76,0.22410147991543342
77,0.2245762711864407
78,0.22505307855626328
79,0.22340425531914893
80,0.22388059701492538
81,0.22435897435897437
82,0.22483940042826553
83,0.22532188841201717
84,0.22580645161290322
85,0.22629310344827586
86,0.2267818574514039
87,0.22727272727272727
88,0.227765726681128
89,0.22826086956521738
90,0.22875816993464052
91,0.2292576419213974
92,0.22975929978118162
93,0.23026315789473684
94,0.23076923076923078
95,0.23127753303964757
96,0.22958057395143489
97,0.23008849557522124
98,0.23059866962305986
99,0.2311111111111111
100,0.23162583518930957
101,0.23214285714285715
102,0.232662192393736
103,0.23318385650224216
104,0.23370786516853934
105,0.23423423423423423
106,0.23476297968397292
107,0.23529411764705882
108,0.23582766439909297
109,0.23636363636363636
110,0.23690205011389523
111,0.2374429223744292
112,0.2379862700228833
113,0.23853211009174313
114,0.23908045977011494
115,0.23963133640552994
116,0.24018475750577367
117,0.24074074074074073
118,0.24129930394431554
119,0.24186046511627907
120,0.24242424242424243
121,0.24299065420560748
122,0.24355971896955503
123,0.24413145539906103
124,0.2447058823529412
125,0.24528301886792453
126,0.2458628841607565
127,0.24644549763033174
128,0.24703087885985747
129,0.24761904761904763
130,0.24821002386634844
131,0.24880382775119617
132,0.24940047961630696
133,0.24759615384615385
134,0.24819277108433735
135,0.24879227053140096
136,0.24939467312348668
137,0.25
138,0.25060827250608275
139,0.25121951219512195
140,0.25183374083129584
141,0.25245098039215685
142,0.25307125307125306
143,0.2536945812807882
144,0.254320987654321
145,0.25495049504950495
146,0.2555831265508685
147,0.2562189054726368
148,0.256857855361596
149,0.2575
150,0.2581453634085213
151,0.25879396984924624
152,0.2594458438287154
153,0.2601010101010101
154,0.2607594936708861
155,0.2614213197969543
156,0.26208651399491095
157,0.2627551020408163
158,0.26342710997442453
159,0.26153846153846155
160,0.2622107969151671
161,0.26288659793814434
162,0.26356589147286824
163,0.26424870466321243
164,0.2649350649350649
165,0.265625
166,0.26631853785900783
167,0.2670157068062827
168,0.2677165354330709
169,0.26842105263157895
170,0.2691292875989446
171,0.2698412698412698
172,0.27055702917771884
173,0.2712765957446808
174,0.272
175,0.2727272727272727
176,0.2734584450402145
177,0.27419354838709675
178,0.2749326145552561
179,0.2756756756756757
180,0.2764227642276423
181,0.27717391304347827
182,0.2779291553133515
183,0.2786885245901639
184,0.27671232876712326
185,0.2774725274725275
186,0.27823691460055094
187,0.27900552486187846
188,0.27977839335180055
189,0.2777777777777778
190,0.2757660167130919
191,0.276536312849162
192,0.2773109243697479
193,0.27808988764044945
194,0.27887323943661974
195,0.2796610169491525
196,0.2804532577903683
197,0.28125
198,0.28205128205128205
199,0.28285714285714286
200,0.2836676217765043
201,0.28448275862068967
202,0.28530259365994237
203,0.2861271676300578
204,0.28695652173913044
205,0.2877906976744186
206,0.2886297376093295
207,0.2894736842105263
208,0.2873900293255132
209,0.28823529411764703
210,0.2861356932153392
211,0.2869822485207101
212,0.2878338278931751
213,0.2857142857142857
214,0.2865671641791045
215,0.2874251497005988
216,0.2882882882882883
217,0.2891566265060241
218,0.29003021148036257
219,0.2909090909090909
220,0.2917933130699088
221,0.2896341463414634
222,0.290519877675841
223,0.29141104294478526
224,0.2923076923076923
225,0.29012345679012347
226,0.29102167182662536
227,0.2888198757763975
228,0.2897196261682243
229,0.290625
230,0.29153605015673983
231,0.29245283018867924
232,0.29337539432176657
233,0.29430379746835444
234,0.29523809523809524
235,0.2961783439490446
236,0.2971246006389776
237,0.2980769230769231
238,0.2990353697749196
239,0.3
240,0.30097087378640774
241,0.30194805194805197
242,0.30293159609120524
243,0.30392156862745096
244,0.30491803278688523
245,0.3059210526315789
246,0.3069306930693069
247,0.3079470198675497
248,0.30564784053156147
249,0.30666666666666664
250,0.3076923076923077
251,0.3087248322147651
252,0.30976430976430974
253,0.3108108108108108
254,0.30847457627118646
255,0.30952380952380953
256,0.310580204778157
257,0.3116438356164384
258,0.3127147766323024
259,0.3137931034482759
260,0.314878892733564
261,0.3159722222222222
262,0.3170731707317073
263,0.3181818181818182
264,0.3192982456140351
265,0.3204225352112676
266,0.3215547703180212
267,0.32269503546099293
268,0.3238434163701068
269,0.325
270,0.32616487455197135
271,0.3273381294964029
272,0.3285198555956679
273,0.32971014492753625
274,0.32727272727272727
275,0.3284671532846715
276,0.32967032967032966
277,0.33088235294117646
278,0.33210332103321033
279,0.3333333333333333
280,0.3345724907063197
281,0.3358208955223881
282,0.33707865168539325
283,0.3383458646616541
284,0.33962264150943394
285,0.3409090909090909
286,0.33840304182509506
287,0.33969465648854963
288,0.34099616858237547
289,0.3423076923076923
290,0.3436293436293436
291,0.3449612403100775
292,0.3424124513618677
293,0.33984375
294,0.3411764705882353
295,0.3425196850393701
296,0.3438735177865613
297,0.34523809523809523
298,0.3466135458167331
299,0.348
300,0.3453815261044177
301,0.3467741935483871
302,0.3481781376518219
303,0.34959349593495936
304,0.3510204081632653
305,0.3524590163934426
306,0.35390946502057613
307,0.35537190082644626
308,0.35684647302904565
309,0.35833333333333334
310,0.35564853556485354
311,0.35714285714285715
312,0.35864978902953587
313,0.3601694915254237
314,0.3617021276595745
315,0.36324786324786323
316,0.3648068669527897
317,0.36637931034482757
318,0.36796536796536794
319,0.3695652173913043
320,0.37117903930131
321,0.37280701754385964
322,0.3744493392070485
323,0.37168141592920356
324,0.37333333333333335
325,0.375
326,0.37668161434977576
327,0.3783783783783784
328,0.3755656108597285
329,0.37727272727272726
330,0.3789954337899543
331,0.3761467889908257
332,0.37327188940092165
333,0.375
334,0.3767441860465116
335,0.37850467289719625
336,0.38028169014084506
337,0.38207547169811323
338,0.38388625592417064
339,0.38571428571428573
340,0.3827751196172249
341,0.38461538461538464
342,0.3864734299516908
343,0.38349514563106796
344,0.3804878048780488
345,0.37745098039215685
346,0.3793103448275862
347,0.37623762376237624
348,0.3781094527363184
349,0.38
350,0.38190954773869346
351,0.3838383838383838
352,0.38578680203045684
353,0.3877551020408163
354,0.38974358974358975
355,0.3917525773195876
356,0.39378238341968913
357,0.390625
358,0.387434554973822
359,0.3894736842105263
360,0.3915343915343915
361,0.39361702127659576
362,0.39037433155080214
363,0.3870967741935484
364,0.3837837837837838
365,0.3858695652173913
366,0.3879781420765027
367,0.3901098901098901
368,0.3867403314917127
369,0.38333333333333336
370,0.3854748603351955
371,0.38764044943820225
372,0.3898305084745763
373,0.38636363636363635
374,0.38857142857142857
375,0.39080459770114945
376,0.3930635838150289
377,0.38953488372093026
378,0.38596491228070173
379,0.38235294117647056
380,0.378698224852071
381,0.375
382,0.3712574850299401
383,0.37349397590361444
384,0.37575757575757573
385,0.3719512195121951
386,0.37423312883435583
387,0.3765432098765432
388,0.37888198757763975
389,0.375
390,0.37735849056603776
391,0.379746835443038
392,0.3821656050955414
393,0.38461538461538464
