order,cum_neg,cum_pos,pseudo_similarity,prop_fin
1,0,0,0.963772378278996,1.0
2,1,0,0.943841500939947,2.0
3,2,0,0.9325155688095536,3.0
4,3,0,0.9138679071691088,4.0
5,4,0,0.9022538278691838,5.0
6,4,1,0.8976826741060238,2.5
7,4,1,0.8905216185997625,2.5
8,5,1,0.8900972355206148,3.0
9,5,1,0.8867855813656341,3.0
10,6,1,0.884125099512706,3.5
11,6,2,0.874192100409222,2.3333333333333335
12,6,2,0.8741627376232878,2.3333333333333335
13,7,2,0.8699731872192983,2.6666666666666665
14,7,2,0.8698819547103178,2.6666666666666665
15,7,2,0.8605914916455601,2.6666666666666665
16,7,2,0.8590116009303881,2.6666666666666665
17,7,2,0.8543298466349597,2.6666666666666665
18,8,2,0.8424001856122751,3.0
19,8,3,0.8381074259876272,2.25
20,8,3,0.8342988939748299,2.25
21,8,3,0.8321441513495477,2.25
22,8,3,0.8197785454488518,2.25
23,8,3,0.8177256931089364,2.25
24,8,3,0.817653197893898,2.25
25,8,4,0.8142641683161418,1.8
26,8,4,0.8132442037621633,1.8
27,9,4,0.8097347386827144,2.0
28,9,4,0.8090766115893425,2.0
29,9,4,0.8082667416795138,2.0
30,10,4,0.7961636961648547,2.2
31,10,4,0.7903796313464351,2.2
32,10,4,0.7844322953537836,2.2
33,11,4,0.7813172701170499,2.4
34,12,4,0.7718670952370721,2.6
35,12,4,0.7714999943209311,2.6
36,12,5,0.7670317425289451,2.1666666666666665
37,12,5,0.7662413248364315,2.1666666666666665
38,13,5,0.7661052582120204,2.3333333333333335
39,13,5,0.7658338192348783,2.3333333333333335
40,13,5,0.7656789473894854,2.3333333333333335
41,13,5,0.7651812190273695,2.3333333333333335
42,13,6,0.7640158627989151,2.0
43,14,6,0.7628408985426077,2.142857142857143
44,15,6,0.7620207857780331,2.2857142857142856
45,16,6,0.761195495235907,2.4285714285714284
46,17,6,0.7611164150215018,2.5714285714285716
47,18,6,0.7597903014102454,2.7142857142857144
48,18,6,0.756000223008271,2.7142857142857144
49,19,6,0.7558449787529596,2.857142857142857
50,20,6,0.7556511776635898,3.0
51,20,6,0.7550482971912233,3.0
52,20,7,0.7507714068845008,2.625
53,21,7,0.7501141573877277,2.75
54,21,7,0.7493430345601126,2.75
55,22,7,0.7455486514827645,2.875
56,22,7,0.7439556375457812,2.875
57,22,7,0.7418880659489516,2.875
