removed_top_n,mean_remaining
1,4.5899024792869945
2,4.5855540339428655
3,4.585734725069204
4,4.589984337461977
5,4.586182457122496
6,4.583742463007346
7,4.5809020410182315
8,4.579247371079572
9,4.582497086475556
10,4.582578728135728
11,4.5903772382880055
12,4.5980394741549215
13,4.5964763394163
14,4.597943330733825
15,4.602407160683002
16,4.600344659726338
17,4.600585441435519
18,4.606371027901062
19,4.604055897895571
20,4.61216911540009
21,4.615256264888958
22,4.617622480124183
23,4.617357820540908
24,4.615695235539902
25,4.616721696774204
26,4.612701157867195
27,4.615644202143784
28,4.611649176317777
29,4.610599818439036
30,4.610877713055594
31,4.619717074488193
32,4.620216933242081
33,4.625887369986679
34,4.632155406460102
35,4.634052966998973
36,4.63525372932487
37,4.63121600309974
38,4.630998759582944
39,4.632709079467828
40,4.633337382797714
41,4.63473932891335
42,4.634259872986038
43,4.632507142218185
44,4.631182355342177
45,4.628947454239378
46,4.627713469323498
47,4.627048141463016
48,4.622253851371639
49,4.621830593967432
50,4.6216205309468
51,4.620788327244254
52,4.620184041525258
53,4.624982647200763
54,4.624155696782799
55,4.624241430140334
56,4.621658694182086
57,4.626323723539366
58,4.622588280185481
59,4.617773773093069
60,4.617219501993602
61,4.621813728016023
62,4.622291547589792
63,4.620902854117652
64,4.624966930429449
65,4.627387908379585
66,4.629556090292085
67,4.62741625664293
68,4.622768283396347
69,4.619392391367432
70,4.623675480999152
71,4.6189448902176515
72,4.616042713706968
73,4.617777392166581
74,4.611635384862417
75,4.611423117646538
76,4.619955070700107
77,4.6255024337117625
78,4.6268504675512485
79,4.62016968671158
80,4.623247271295006
81,4.627570410913295
82,4.635431491677395
83,4.631481568674374
84,4.630563632388193
85,4.626102183475666
86,4.630276103278184
87,4.638551752808984
88,4.642397467729804
89,4.641323349041492
90,4.642420057690594
91,4.646786471170626
92,4.646390806813891
93,4.643382222110366
94,4.648437626341799
95,4.654563692718349
96,4.6551256776736345
97,4.652692674363266
98,4.653613376866415
99,4.6598738035579315
100,4.655631855454037
101,4.651078084313917
102,4.649410361547939
103,4.65093713764154
104,4.661765040892103
105,4.6551713301502975
106,4.652890902344206
107,4.655066313619969
108,4.65435748338457
109,4.6560484383249445
110,4.652445375147912
111,4.651849330809735
112,4.651284649968613
113,4.654596173918032
114,4.662861418705218
115,4.669609785390096
116,4.667363340112901
117,4.670794190723776
118,4.666173481631193
119,4.670169292505071
120,4.6680713555025894
121,4.668872953108665
122,4.6712849615454415
123,4.668341155192271
124,4.665622468970779
