removed_top_n,mean_remaining,std_remaining
1,3.37549736477049,1.5260675957968555
2,3.3709384657911303,1.5242007023502389
3,3.3717589401782067,1.5256234661233206
4,3.3700428339614694,1.5266813288477765
5,3.369180192525573,1.5281018876590045
6,3.3666038761662453,1.5285734450225372
7,3.36880653460984,1.529339550412079
8,3.3668128015871366,1.530252795982692
9,3.368574590075051,1.531311756035377
10,3.369486203418871,1.5327404203944113
11,3.367898721672853,1.5339043740441767
12,3.368003354455961,1.5354734497682967
13,3.36294333420208,1.532979219530481
14,3.3618169291249873,1.5343542063490503
15,3.360061960719604,1.5354478503731352
16,3.3598169567368403,1.5370237677841092
17,3.3600857836778726,1.5386027003267695
18,3.3603596691768165,1.5401861722672123
19,3.3646864102523892,1.5388573120955835
20,3.3685794574712817,1.5380914741940204
21,3.3703522493331506,1.5392062003528375
22,3.3683165857251254,1.5401711525767727
23,3.3720379031338967,1.5396365645915482
24,3.3683178387507335,1.5391100049427777
25,3.368890933852713,1.5406785335320305
26,3.367679425938086,1.5420768292447982
27,3.364552290551662,1.5422040069155978
28,3.3569634459680966,1.5349891959582884
29,3.3607014645170388,1.534470334908966
30,3.3596888090972135,1.5359446596233284
31,3.3562670042754568,1.5357906775179238
32,3.357546672225098,1.537180812728551
33,3.360428787436497,1.5375620846160065
34,3.3610547417367385,1.5391515047439595
35,3.363378717572599,1.5399886845491704
36,3.3618047715762165,1.541273607454351
37,3.366462734765023,1.5396713360198848
38,3.364519430050995,1.5407694431219243
39,3.369604106431721,1.538562826139002
40,3.3658616449854897,1.538136804603456
41,3.3610971668924146,1.5364169693130665
42,3.359621726346794,1.5377685110535095
43,3.3617169204231554,1.538796905358651
44,3.3622967708315596,1.5404333853283814
45,3.360168916969316,1.541455674654879
46,3.3657599647101204,1.538536983594884
47,3.370466003488059,1.5369667464971855
48,3.372160215009221,1.538243402070201
49,3.3757879729615823,1.5380151843896588
50,3.3803363132129323,1.536690384059738
51,3.381498431359675,1.5382031349826608
52,3.385053007528487,1.538075800459541
53,3.3923334641782454,1.5320650275532974
54,3.394755873354238,1.5329263046374553
55,3.395549087060185,1.5345562970268418
56,3.396794197328701,1.53605888265767
57,3.3951724696022163,1.5374118848131542
58,3.394656929704864,1.5391118067234033
59,3.3975568762155217,1.5396491960935126
60,3.3990080884552856,1.5410965051554197
61,3.3971945051863965,1.542381669621814
62,3.399448242723465,1.543419178410363
63,3.3946272096290153,1.5418864206419354
64,3.398155671425172,1.5418903493171079
65,3.3986003111774727,1.5436336990786403
66,3.39632851296258,1.5446845201607735
67,3.402544637835341,1.5410356663826537
68,3.4088154913548143,1.537290150168897
69,3.402273162065402,1.5330537220406464
70,3.4063967494931173,1.5324459887691795
71,3.403908905306759,1.5333634220794645
72,3.4020256130294344,1.534658032656503
73,3.401477024200726,1.5364120878501073
74,3.4066227712828328,1.5345347564725773
75,3.4064982298672515,1.5363368803600752
76,3.405248395767668,1.5379317091898872
77,3.4026446512668387,1.5388148068934167
78,3.4047613280269813,1.5400217831762395
79,3.4022330771886646,1.5409747110539693
80,3.397939182837883,1.5402904522643666
81,3.4063407048417105,1.5324852415508057
82,3.4011638674824227,1.5306535897135738
83,3.405316404366699,1.5301343302996966
84,3.4048283493885925,1.531939911336078
85,3.406052478711874,1.5335812840886347
86,3.4021831536425333,1.533407694753457
87,3.3989681339390603,1.5338687114226082
88,3.395537271812737,1.5341455091980707
89,3.4012328622352026,1.531653940324493
90,3.4032379698290063,1.5329818160092135
91,3.4007945194351037,1.5340570935752422
92,3.4023654810317314,1.5356072920754238
93,3.399075771914159,1.5360560327925308
94,3.39906222845121,1.5379465397392122
95,3.4052675600021174,1.5347593501384542
96,3.402306719970314,1.5355019413967035
97,3.40215068305953,1.5374026512733254
98,3.404131655726325,1.5387998757102657
99,3.405558979295874,1.540451583820558
100,3.4005591240811053,1.539122847722324
101,3.4011800992811434,1.5410003202071851
102,3.4007977701020784,1.5429161352676484
103,3.40302670991609,1.544218027548096
104,3.4035519736144417,1.5461311471630612
105,3.398576396001296,1.544917458607488
106,3.394831506244794,1.5450851714234117
107,3.398881930941487,1.5449591487004302
108,3.3981021830566047,1.5468512701524817
109,3.402003636655639,1.5469006590278906
110,3.4055043721986946,1.547334976907596
111,3.4044060281659707,1.5491707211736885
112,3.405562204916935,1.5509981676526434
113,3.404932309815204,1.5529511836206857
114,3.4036515226911854,1.5547573299048623
115,3.405391604166722,1.5563997610332316
116,3.412223929618316,1.5526482021348946
117,3.4053246924805207,1.5487842137388077
118,3.4038062474109787,1.5505253534186478
119,3.402324344152166,1.5522886441925696
120,3.4024967938287487,1.5543261424473132
121,3.403821380131539,1.5561611487793983
122,3.4034619813700924,1.5582024948534656
123,3.3977104243576735,1.5562554179175367
124,3.4046868183192087,1.5524250751778768
125,3.4076034549143444,1.5534644503573034
126,3.4070969221865135,1.5555089609716561
127,3.406701609480582,1.5575739362692271
128,3.4018331303175677,1.5568292428163897
129,3.4018119246303344,1.5589259298347495
130,3.4038705871741586,1.5605274640861413
131,3.3996669124943852,1.560547122912447
132,3.401371129255902,1.56232304561591
133,3.4027569490941088,1.5642242110811262
134,3.396763592399069,1.5621459157839608
135,3.4039150061340253,1.5582898896900146
136,3.404283769480815,1.560413025292846
137,3.408352623206208,1.5606313672555456
138,3.413705743526079,1.559453836587156
139,3.4199647689455324,1.5570649725351045
140,3.4226127870433505,1.5584141246072436
141,3.4242432487987746,1.5602764538162277
142,3.4289593234999867,1.5598968359405212
143,3.424596296299081,1.5598971612425279
144,3.432362357037929,1.5551793886138296
145,3.426790169744718,1.5538154008360585
146,3.4336239745615007,1.5506720028834085
147,3.437448656893376,1.5511986111543876
148,3.4463790063577444,1.5443124108809683
149,3.453489765540745,1.5407456870589518
150,3.4555960305399434,1.5424404935643217
151,3.4544805916786174,1.5445077452888178
152,3.4543799504543746,1.5467241309980053
153,3.4558332432179117,1.548713962274142
154,3.455012295665145,1.5508749784212776
155,3.45619963613446,1.5529639558522321
156,3.457082034155102,1.55513316772141
157,3.4562151624025317,1.5573154811675023
158,3.452203567794349,1.557819940290412
159,3.458114243562419,1.5562684692879665
160,3.464645586879307,1.553881740772904
161,3.468238337585438,1.5547611889138044
