removed_top_n,mean_remaining,std_remaining
1,2.231416972161181,1.62856268883672
2,2.2337771122616186,1.6293442260282822
3,2.235240540451889,1.6306555901733364
4,2.240202118526162,1.6285465421818863
5,2.244921946514432,1.626798225283544
6,2.2467573625671604,1.6279318674978174
7,2.242564882587244,1.626915721492496
8,2.24775232193386,1.6244901212836778
9,2.2521108670341974,1.6232671845182796
10,2.2542145398086326,1.624253984231352
11,2.2562397230310394,1.6252957975397762
12,2.2615548075047527,1.6227092180416638
13,2.262125380068202,1.6243254869548913
14,2.2602935277668648,1.6254931390500225
15,2.257770835845776,1.6262173735844911
16,2.254734882307189,1.6265228890992234
17,2.258027390852193,1.6265937528451042
18,2.2614577678324728,1.626533973693606
19,2.2643653793978107,1.6269720572912032
20,2.2684167066914225,1.6262404383260887
21,2.2731936086266216,1.6245695274883118
22,2.269494739597053,1.624251840536806
23,2.2733480138632824,1.6237695757763142
24,2.278813137330708,1.6210860359218882
25,2.2744438054022575,1.6199892140410503
26,2.2753231200276183,1.6215839236664904
27,2.2781274443168904,1.6221485886399756
28,2.2787928303173026,1.6238015754274662
29,2.2797295958259136,1.6253970341278416
30,2.2860938061569276,1.6212524852261163
31,2.2907045264139554,1.6198988869561912
32,2.2859997239205017,1.6184245435572324
33,2.28525281444355,1.6200758295317599
34,2.285107220509571,1.6218101248458718
35,2.290099168179848,1.6199728593993592
36,2.2946618870476048,1.618730166688334
37,2.292542578737424,1.6198341518377113
38,2.2970578747619497,1.6186730488419503
39,2.2983200462189,1.620200591581912
40,2.302984706243455,1.6188655484023078
41,2.308743323062775,1.6159148921412803
42,2.3138520770329025,1.6139710646593155
43,2.3147205622351805,1.6156290258481762
44,2.316841607957571,1.6167638756856701
45,2.3145136067716274,1.6177759387364379
46,2.3163036892248017,1.6191064645734605
47,2.3142253678980507,1.6202875410093693
48,2.3184105348924313,1.619631252613646
49,2.3214097419403554,1.6201715849217964
50,2.3187326834061457,1.620974103539122
51,2.3199230543838887,1.622581715078989
52,2.3257641662070134,1.6196693793246015
53,2.3290546343169933,1.6199836623402175
54,2.33197419160041,1.620623678498989
55,2.337499861638368,1.6182414671850933
56,2.3348951507409756,1.6191307298869086
57,2.328675687371031,1.6156507767151789
