removed_top_n,positive_ratio_remaining
1,0.20040080160320642
2,0.20080321285140562
3,0.2012072434607646
4,0.20161290322580644
5,0.20202020202020202
6,0.20242914979757085
7,0.2028397565922921
8,0.2032520325203252
9,0.20366598778004075
10,0.20408163265306123
11,0.20449897750511248
12,0.20491803278688525
13,0.2053388090349076
14,0.205761316872428
15,0.20412371134020618
16,0.20454545454545456
17,0.2028985507246377
18,0.2033195020746888
19,0.20374220374220375
20,0.20416666666666666
21,0.2045929018789144
22,0.20292887029288703
23,0.20335429769392033
24,0.20378151260504201
25,0.20210526315789473
26,0.20042194092827004
27,0.19873150105708245
28,0.19915254237288135
29,0.19957537154989385
30,0.2
31,0.20042643923240938
32,0.20085470085470086
33,0.2012847965738758
34,0.2017167381974249
35,0.2021505376344086
36,0.2025862068965517
37,0.20302375809935205
38,0.20346320346320346
39,0.2039045553145336
40,0.20217391304347826
41,0.20261437908496732
42,0.20305676855895197
43,0.20350109409190373
44,0.20394736842105263
45,0.2021978021978022
46,0.2026431718061674
47,0.20309050772626933
48,0.20353982300884957
49,0.2039911308203991
50,0.20444444444444446
51,0.2026726057906459
52,0.203125
53,0.203579418344519
54,0.20179372197309417
55,0.20224719101123595
56,0.20270270270270271
57,0.20316027088036118
58,0.20135746606334842
59,0.2018140589569161
60,0.20227272727272727
61,0.20273348519362186
62,0.20319634703196346
63,0.2036613272311213
64,0.20412844036697247
65,0.2045977011494253
66,0.20506912442396313
67,0.20323325635103925
68,0.2037037037037037
69,0.20417633410672853
70,0.20465116279069767
71,0.20512820512820512
72,0.205607476635514
73,0.20608899297423888
74,0.20657276995305165
75,0.20470588235294118
76,0.20518867924528303
77,0.20567375886524822
78,0.20616113744075829
79,0.20665083135391923
80,0.20714285714285716
81,0.2052505966587112
82,0.20574162679425836
83,0.20623501199040767
84,0.20673076923076922
85,0.20722891566265061
86,0.20772946859903382
87,0.20823244552058112
88,0.2087378640776699
89,0.20924574209245742
90,0.2097560975609756
91,0.21026894865525672
92,0.2107843137254902
93,0.2113022113022113
94,0.20935960591133004
95,0.20987654320987653
96,0.2079207920792079
97,0.20843672456575682
98,0.208955223880597
99,0.20698254364089774
100,0.2075
101,0.20802005012531327
102,0.20854271356783918
103,0.20654911838790932
104,0.20707070707070707
105,0.20759493670886076
106,0.20812182741116753
107,0.20865139949109415
108,0.20918367346938777
109,0.20971867007672634
